participant,band,channel,statistic,p_value,p_value_corrected,significant
10,beta,3R,12620.0,0.19421951459589082,0.3010402476236308,False
10,beta,4R,12781.0,0.25227047427919946,0.342683337637355,False
10,beta,5R,11806.0,0.0381260972123505,0.0738693133489291,False
10,beta,6R,11461.0,0.016301528811438967,0.038872876396508306,True
10,beta,7R,12576.0,0.18021106446128077,0.28648938452818995,False
10,beta,8R,12916.0,0.3095006188869974,0.40827741214880514,False
10,beta,9R,11717.0,0.030907229040119184,0.06387494001624631,False
10,beta,10R,12943.0,0.32190334277034105,0.4157918177450239,False
10,beta,1LA,12152.0,0.08116837539351657,0.14354907128931066,False
10,beta,2LA,12005.0,0.059570688141470526,0.11192068681124766,False
10,beta,3LA,13333.0,0.5358528979701214,0.5788604311306844,False
10,beta,1LB,13292.0,0.5104436604495186,0.5767131747134222,False
10,beta,2LB,11101.0,0.0060514972532416285,0.01631273172612961,True
10,beta,3LB,13175.0,0.4415464815648579,0.5264592664811767,False
10,beta,4LB,12336.0,0.11671905548445821,0.1955832821631462,False
10,beta,5LB,11507.0,0.018359798909553172,0.04065384044258202,True
10,beta,1LC,11778.0,0.03571430640086129,0.07142861280172258,False
10,beta,2LC,6414.0,5.630688607420356e-13,1.7455134683003105e-11,True
10,beta,3LC,13612.0,0.7238177159132808,0.7479449731103901,False
10,beta,4LC,10118.0,0.00023210053030467783,0.0008464842869935309,True
10,beta,5LC,13861.0,0.9074943381514446,0.9074943381514446,False
10,beta,1LD,8411.0,1.113926874742223e-07,1.5817173411573941e-06,True
10,beta,2LD,7898.0,6.803916510259987e-09,1.4061427454537307e-07,True
10,beta,3LD,8883.0,1.1886208243131467e-06,1.0527784443916443e-05,True
10,beta,4LD,10826.0,0.0026392372679639995,0.007792033838750856,True
10,beta,1RA,11478.0,0.01703728919555905,0.039122664078691145,True
10,beta,2RA,9814.0,7.1635109113404e-05,0.0003172411975022177,True
10,beta,3RA,9931.0,0.00011368840791173461,0.0004699120860351697,True
10,beta,1RB,9002.0,2.093497036762467e-06,1.622460203490912e-05,True
10,beta,2RB,10942.0,0.003774488025645936,0.010637193526820365,True
10,beta,3RB,13770.0,0.8392342150548946,0.8529921530066141,False
10,beta,4RB,9068.0,2.850325699108262e-06,1.963557703830136e-05,True
10,beta,5RB,13044.0,0.37113139862875977,0.46020293429966214,False
10,beta,1RC,9175.0,4.662939147573345e-06,2.891022271495474e-05,True
10,beta,2RC,10815.0,0.00254969725531074,0.007792033838750856,True
10,beta,3RC,3397.0,6.589142966161696e-24,4.0852686390202516e-22,True
10,beta,4RC,12716.0,0.2275239590367979,0.3280578014018946,False
10,beta,5RC,11330.0,0.011508556749236233,0.02854122073810586,True
10,beta,1RD,13004.0,0.3511017807951936,0.4442512328428981,False
